P,P_lag1,Q_lag1
4.245,5.378,38.12
2.4461,4.245,34.413
0.25643,2.4461,34.789
0.1194,0.25643,37.48
0.34806,0.1194,35.333
4.1087,0.34806,31.851
1.4985,4.1087,28.699
0.53552,1.4985,26.641
0.066354,0.53552,24.823
0.000857,0.066354,22.992
0.0,0.000857,20.86
0.0,0.0,19.342
0.0,0.0,17.735
0.0,0.0,16.687
0.05884,0.0,15.569
0.18069,0.05884,14.588
2.7815,0.18069,13.873
8.3786,2.7815,13.131
3.6684,8.3786,13.251
2.4774,3.6684,13.488
7.8249,2.4774,14.763
0.58322,7.8249,14.978
5.4811,0.58322,17.899
1.4121,5.4811,20.85
0.66709,1.4121,21.343
0.076725,0.66709,21.66
2.6114,0.076725,20.736
2.3367,2.6114,18.731
10.455,2.3367,17.263
5.902,10.455,16.714
3.1857,5.902,19.069
6.8208,3.1857,37.456
1.0854,6.8208,42.443
1.0665,1.0854,46.414
0.69661,1.0665,45.809
3.5256,0.69661,41.457
3.3697,3.5256,37.147
3.256,3.3697,33.598
0.36876,3.256,33.043
0.19269,0.36876,35.183
0.41756,0.19269,33.792
0.3922,0.41756,30.676
0.48359,0.3922,28.185
9.7579,0.48359,26.809
1.4874,9.7579,25.691
0.62458,1.4874,28.134
11.643,0.62458,30.98
2.6048,11.643,29.314
3.2118,2.6048,39.569
1.8803,3.2118,54.717
17.818,1.8803,53.056
0.78375,17.818,51.664
2.455,0.78375,102.5
0.015762,2.455,102.48
0.061004,0.015762,81.294
0.000857,0.061004,69.533
0.0,0.000857,60.647
0.000735,0.0,53.948
0.099673,0.000735,47.877
0.0,0.099673,43.687
1.9069,0.0,40.164
0.15786,1.9069,36.534
0.45651,0.15786,34.375
0.13965,0.45651,32.353
7.8735,0.13965,30.746
5.2367,7.8735,29.736
2.035,5.2367,32.632
0.10702,2.035,37.305
0.61923,0.10702,43.299
0.0041241,0.61923,41.358
0.010331,0.0041241,37.316
0.0,0.010331,34.429
0.72556,0.0,32.11
1.1575,0.72556,30.801
0.054349,1.1575,29.52
1.5796,0.054349,28.536
0.028787,1.5796,26.892
0.048387,0.028787,26.158
0.0020825,0.048387,25.075
0.0015108,0.0020825,23.847
0.0,0.0015108,23.112
0.017191,0.0,23.253
0.0,0.017191,21.69
6.3775,0.0,21.173
0.992,6.3775,20.715
7.578,0.992,21.21
0.38403,7.578,23.688
1.0552,0.38403,28.824
3.0664,1.0552,32.25
8.4624,3.0664,30.118
0.3296,8.4624,29.903
0.85888,0.3296,43.243
0.10094,0.85888,41.816
0.13483,0.10094,37.117
1.0862,0.13483,34.178
0.10159,1.0862,32.197
0.014332,0.10159,30.744
0.11433,0.014332,29.88
0.11433,0.11433,27.803
0.062924,0.11433,26.626
0.097101,0.062924,25.536
0.37869,0.097101,24.625
0.23887,0.37869,23.947
0.4962,0.23887,23.33
2.4984,0.4962,22.368
5.9096,2.4984,21.609
1.4813,5.9096,21.725
1.5314,1.4813,22.471
19.315,1.5314,26.039
8.5512,19.315,27.815
0.83099,8.5512,70.113
5.8946,0.83099,96.766
2.9614,5.8946,94.534
1.4203,2.9614,83.038
0.065496,1.4203,85.467
0.0017558,0.065496,77.226
0.018252,0.0017558,68.212
0.0077174,0.018252,60.73
0.000817,0.0077174,54.057
0.10519,0.000817,49.009
6.1291,0.10519,44.842
2.4827,6.1291,41.52
6.3953,2.4827,40.977
0.29261,6.3953,44.063
0.47918,0.29261,54.809
3.4667,0.47918,54.61
0.18314,3.4667,49.798
0.30265,0.18314,47.31
12.704,0.30265,45.95
1.7002,12.704,44.7
7.1862,1.7002,73.867
